left_condition,right_condition,left_slot,right_slot,left_feature_id,right_feature_id,left_direction,right_direction,decoder_cosine,test_trace_activation_correlation,mutual_nearest_neighbor,same_direction,stable_match
full_token_uniform,full_trace_balanced,0,5,493,493,short,short,0.9954202367978849,0.9910416839172108,True,True,True
full_token_uniform,full_trace_balanced,1,21,3240,6477,short,long,0.06178415598227422,-0.4576412874818331,False,False,False
full_token_uniform,full_trace_balanced,2,9,26100,12890,short,short,0.06389565151570582,0.9528473355755631,False,True,False
full_token_uniform,full_trace_balanced,3,8,24326,26001,short,short,0.09302326427587507,0.9407957473027528,True,True,False
full_token_uniform,full_trace_balanced,4,21,10807,6477,short,long,0.049722616438627194,-0.4692191941703038,False,False,False
full_token_uniform,full_trace_balanced,5,11,14905,14905,short,short,0.9937046881898113,0.9889902276300777,True,True,True
full_token_uniform,full_trace_balanced,6,2,987,987,short,short,0.9919576706397202,0.9899431748693388,True,True,True
full_token_uniform,full_trace_balanced,7,0,11983,11983,short,short,0.985511769464304,0.9345387587368499,True,True,True
full_token_uniform,full_trace_balanced,8,17,17531,7975,short,long,0.08392737531985735,-0.2704011710680037,False,False,False
full_token_uniform,full_trace_balanced,9,7,12175,12175,short,short,0.9860031852047038,0.946573974732779,True,True,True
full_token_uniform,full_trace_balanced,10,8,25190,26001,short,short,0.055715008532006005,0.8463083337725625,False,True,False
full_token_uniform,full_trace_balanced,11,0,7541,11983,short,short,0.04300347834748075,0.9214666803924838,False,True,False
full_token_uniform,full_trace_balanced,12,13,5834,5834,long,long,0.9225127240472454,0.9578883471026507,True,True,True
full_token_uniform,full_trace_balanced,13,16,6357,13341,long,long,0.08133228805331844,0.45152236323853895,False,True,False
full_token_uniform,full_trace_balanced,14,12,12956,10498,long,long,0.8033570747306238,0.9419036702979756,True,True,True
full_token_uniform,full_trace_balanced,15,21,23254,6477,long,long,0.36382285767838657,0.29212285033859886,True,True,False
full_token_uniform,full_trace_balanced,16,13,3934,5834,long,long,0.21797381932355595,0.8092409863901932,False,True,False
full_token_uniform,full_trace_balanced,17,15,11432,15767,long,long,0.5983639834388189,0.9470228109760251,True,True,True
full_token_uniform,full_trace_balanced,18,16,2329,13341,long,long,0.11640119273392249,0.21311002031792886,False,True,False
full_token_uniform,full_trace_balanced,19,12,27482,10498,long,long,0.10427999641802663,0.07596228009259635,False,True,False
full_token_uniform,full_trace_balanced,20,19,20088,20088,long,long,0.8468291025810831,0.9367812736707023,True,True,True
full_token_uniform,full_trace_balanced,21,19,28040,20088,long,long,0.1443387267684494,0.5846109452139522,False,True,False
full_token_uniform,full_trace_balanced,22,13,27193,5834,long,long,0.09611602188727719,0.6746955487771598,False,True,False
full_token_uniform,full_trace_balanced,23,16,24176,13341,long,long,0.1876543985631831,0.379391470574986,True,True,False
full_token_uniform,prefix64_trace_balanced,0,17,493,27266,short,long,0.034239600987409205,-0.19838495667992684,False,False,False
full_token_uniform,prefix64_trace_balanced,1,16,3240,24406,short,long,0.03817216185197296,-0.4417580156140206,False,False,False
full_token_uniform,prefix64_trace_balanced,2,13,26100,20387,short,long,0.03540037304494409,-0.236563982511346,False,False,False
full_token_uniform,prefix64_trace_balanced,3,2,24326,1068,short,short,0.050819508904469325,0.2787430486277958,False,True,False
full_token_uniform,prefix64_trace_balanced,4,3,10807,15720,short,short,0.020906910348259544,0.3236198010956553,False,True,False
full_token_uniform,prefix64_trace_balanced,5,8,14905,3270,short,short,0.03665058414947483,0.16109033024890168,False,True,False
full_token_uniform,prefix64_trace_balanced,6,15,987,4321,short,long,0.04167714212821963,-0.43468340752103213,False,False,False
full_token_uniform,prefix64_trace_balanced,7,23,11983,27872,short,long,0.03750789924747695,-0.43222024658200947,False,False,False
full_token_uniform,prefix64_trace_balanced,8,21,17531,26606,short,long,0.029018034633816053,-0.3941078522401662,False,False,False
full_token_uniform,prefix64_trace_balanced,9,13,12175,20387,short,long,0.035125200204837566,-0.24935284198751576,False,False,False
full_token_uniform,prefix64_trace_balanced,10,17,25190,27266,short,long,0.030696897610583578,-0.24289866595049198,False,False,False
full_token_uniform,prefix64_trace_balanced,11,11,7541,17085,short,short,0.03094846558826537,0.5720821807675633,False,True,False
full_token_uniform,prefix64_trace_balanced,12,17,5834,27266,long,long,0.10978965989639414,0.2879156764988949,False,True,False
full_token_uniform,prefix64_trace_balanced,13,23,6357,27872,long,long,0.08956445252454305,0.5335919319540772,False,True,False
full_token_uniform,prefix64_trace_balanced,14,13,12956,20387,long,long,0.22526849700344048,0.5925974953015227,True,True,False
full_token_uniform,prefix64_trace_balanced,15,14,23254,27659,long,long,0.07500358100413278,0.2703346006722608,False,True,False
full_token_uniform,prefix64_trace_balanced,16,19,3934,15417,long,long,0.11113857086484746,0.7040744214805177,True,True,False
full_token_uniform,prefix64_trace_balanced,17,14,11432,27659,long,long,0.05959088256734152,0.08574639210999731,False,True,False
full_token_uniform,prefix64_trace_balanced,18,20,2329,2699,long,long,0.058260686233047504,0.17261014479592598,False,True,False
full_token_uniform,prefix64_trace_balanced,19,14,27482,27659,long,long,0.17858234786970661,0.15287704767653124,True,True,False
