feature_id,direction,discovery_rank,passes_discovery_gate,confirmed,confirmation_holm_p_value,dev_primary_paired_d,test_primary_paired_d,test_first_64_paired_d
26100,short,3,True,True,7.263315424173205e-60,2.4293768727608347,2.646299037339844,0.0811469833571413
7541,short,12,True,True,6.800327682583634e-59,2.298843386911929,2.5929795071787387,0.05899625413901006
987,short,7,True,True,9.91363939292752e-57,2.4060703595955646,2.4794270469677016,0.07592135866552559
25190,short,11,True,True,7.395538653220567e-53,2.25137676795419,2.2852974643598944,0.11128410894573357
11983,short,8,True,True,1.1256970121206188e-52,2.301559696964435,2.275173462387352,0.0587540073296335
493,short,1,True,False,5.6553051352176016e-64,2.6046866856350173,2.873366770238107,-0.024371308840935788
3240,short,2,True,False,1.4164746451383724e-60,2.505135464489586,2.685198557627416,-0.04968319384744307
10807,short,5,True,False,3.7015379624973097e-59,2.4314839805291077,2.6079192790561616,-0.19780537055585562
5834,long,1,True,True,7.359554577845699e-26,-1.011009380233023,-1.1881196075367828,-0.18761406702528202
11432,long,6,True,True,5.704157441331465e-24,-0.8992395479455566,-1.120266346469106,-0.21826941607517183
12956,long,3,True,True,5.131571646008081e-18,-0.9281704638576816,-0.908025308614764,-0.09613515290248377
3934,long,5,True,True,2.921940683173631e-16,-0.857785878128066,-0.8422334060561792,-0.15186169747509448
23254,long,4,True,True,1.3405346862230551e-15,-0.813613805040844,-0.8161289596681099,-0.2220383466947644
2329,long,7,True,True,1.0755895891087861e-13,-0.7705703813514935,-0.7447724531048048,-0.28256905418324885
27482,long,8,True,True,1.4281197818705925e-13,-0.8496991187930488,-0.735818457849211,-0.1186286562847497
24176,long,12,True,True,1.0801225907051323e-07,-0.6198257171618724,-0.48949238123826044,-0.41546772187002634
