feature_direction,trace_label,relative_position_bin,mean_activation_per_token,feature_trace_cell_count
short,short,0,0.0012680516580459381,2600
short,short,1,0.0007108615813032618,2600
short,short,2,0.0008833296529211046,2600
short,short,3,0.0006184925709838799,2600
short,short,4,0.29900800186037196,2600
short,long,0,0.0008191309489340021,2600
short,long,1,0.0005875341185512721,2600
short,long,2,0.0007073923520438902,2600
short,long,3,0.0008450275091946262,2600
short,long,4,0.21251681832047548,2600
long,short,0,0.047493384499646164,4160
long,short,1,0.08621354568956428,4160
long,short,2,0.1748962353683989,4160
long,short,3,0.3215820067783966,4160
long,short,4,0.3105421557895672,4160
long,long,0,0.06681219324556652,4160
long,long,1,0.15817560588726448,4160
long,long,2,0.288437066906397,4160
long,long,3,0.4481932172025419,4160
long,long,4,0.4691692966062458,4160
