feature_id,direction,test_token_mean_paired_d,test_first_64_paired_d,top_token_id,top_token,top_token_activation_mass_share
26100,short,2.646299037339844,0.0811469833571413,16141,Answer,0.5418084459660008
987,short,2.4794270469677016,0.07592135866552559,16141,Answer,0.5835056379582104
11983,short,2.275173462387352,0.0587540073296335,16141,Answer,0.9634608358815493
25190,short,2.2852974643598944,0.11128410894573357,16141,Answer,0.9598218454415384
7541,short,2.5929795071787387,0.05899625413901006,16141,Answer,0.969906868255206
5834,long,-1.1881196075367828,-0.18761406702528202,2533,]\n\n,0.22844579757119438
12956,long,-0.908025308614764,-0.09613515290248377,481,▁-,0.050009500091327305
23254,long,-0.8161289596681099,-0.2220383466947644,25,:,0.041084019267123496
3934,long,-0.8422334060561792,-0.15186169747509448,9640,[\n,0.32077470106306666
11432,long,-1.120266346469106,-0.21826941607517183,315,▁of,0.032732565006430056
2329,long,-0.7447724531048048,-0.28256905418324885,220,▁,0.13254072125875263
27482,long,-0.735818457849211,-0.1186286562847497,90,{,0.11949389144812504
24176,long,-0.48949238123826044,-0.41546772187002634,18,3,0.29977962297416894
