model_id,budget_regime,condition,seed,n,correct,accuracy,mean_output_tokens,completion_token_updates,optimizer_steps,elapsed_training_seconds
equal_examples__no_steering__seed_17,equal_examples,no_steering,17,1269,818,0.644602048857368,312.43577620173363,153612,154,86.78846253699157
equal_examples__no_steering__seed_42,equal_examples,no_steering,42,1269,837,0.6595744680851063,306.468085106383,153612,154,54.212052872404456
equal_examples__no_steering__seed_73,equal_examples,no_steering,73,1269,822,0.6477541371158393,307.65721040189123,153612,154,48.327595429029316
equal_examples__short_feature_enhance__seed_17,equal_examples,short_feature_enhance,17,1269,815,0.6422379826635146,310.0543735224586,153583,154,161.47514435602352
equal_examples__short_feature_enhance__seed_42,equal_examples,short_feature_enhance,42,1269,821,0.6469661150512215,308.1465721040189,153583,154,53.654356497805566
equal_examples__short_feature_enhance__seed_73,equal_examples,short_feature_enhance,73,1269,830,0.6540583136327817,308.5074862096139,153583,154,48.74439728399739
equal_examples__long_feature_suppress__seed_17,equal_examples,long_feature_suppress,17,1269,842,0.6635145784081954,308.46178092986605,153984,154,88.57328557502478
equal_examples__long_feature_suppress__seed_42,equal_examples,long_feature_suppress,42,1269,810,0.6382978723404256,308.9944838455477,153984,154,55.40172667708248
equal_examples__long_feature_suppress__seed_73,equal_examples,long_feature_suppress,73,1269,834,0.6572104018912529,309.30969267139477,153984,154,48.32185456715524
equal_examples__random_feature_enhance__seed_17,equal_examples,random_feature_enhance,17,1269,815,0.6422379826635146,310.05358550039404,154002,154,163.4074515469838
equal_examples__random_feature_enhance__seed_42,equal_examples,random_feature_enhance,42,1269,835,0.6579984239558707,307.81166272655634,154002,154,54.08547319797799
equal_examples__random_feature_enhance__seed_73,equal_examples,random_feature_enhance,73,1269,823,0.6485421591804571,310.0724980299448,154002,154,48.32373426668346
equal_target_tokens__no_steering__seed_17,equal_target_tokens,no_steering,17,1269,827,0.6516942474389283,311.8092986603625,154021,154,91.67864010494668
equal_target_tokens__no_steering__seed_42,equal_target_tokens,no_steering,42,1269,834,0.6572104018912529,306.56422379826637,154021,154,53.67388974595815
equal_target_tokens__no_steering__seed_73,equal_target_tokens,no_steering,73,1269,827,0.6516942474389283,307.49408983451536,154021,154,48.16060072835535
equal_target_tokens__short_feature_enhance__seed_17,equal_target_tokens,short_feature_enhance,17,1269,828,0.6524822695035462,309.3128447596533,154091,154,218.46190814196598
equal_target_tokens__short_feature_enhance__seed_42,equal_target_tokens,short_feature_enhance,42,1269,823,0.6485421591804571,308.2072498029945,154091,154,54.639783141668886
equal_target_tokens__short_feature_enhance__seed_73,equal_target_tokens,short_feature_enhance,73,1269,820,0.6461780929866037,308.9645390070922,154091,154,49.15826338995248
equal_target_tokens__long_feature_suppress__seed_17,equal_target_tokens,long_feature_suppress,17,1269,818,0.644602048857368,310.0496453900709,154096,154,87.00119552097749
equal_target_tokens__long_feature_suppress__seed_42,equal_target_tokens,long_feature_suppress,42,1269,824,0.6493301812450749,309.327817178881,154096,154,54.63361994642764
equal_target_tokens__long_feature_suppress__seed_73,equal_target_tokens,long_feature_suppress,73,1269,823,0.6485421591804571,308.0472813238771,154096,154,48.26573627907783
equal_target_tokens__random_feature_enhance__seed_17,equal_target_tokens,random_feature_enhance,17,1269,824,0.6493301812450749,312.6910953506698,154002,154,224.6819816470379
equal_target_tokens__random_feature_enhance__seed_42,equal_target_tokens,random_feature_enhance,42,1269,830,0.6540583136327817,309.60520094562645,154002,154,55.22363425884396
equal_target_tokens__random_feature_enhance__seed_73,equal_target_tokens,random_feature_enhance,73,1269,832,0.6556343577620173,309.4460204885737,154002,154,48.77582780877128
base_student,base,base_student,,1269,852,0.6713947990543735,242.56737588652481,,,
